channel,formats,consideration
display,IAB Banners Retargeting,21.56818181818182
display,IAB Banners Targeting,19.56818181818182
display,Video,19.56818181818182
snapchat,Collection,18.561818181818182
search,Shopping ads,18.18181818181818
search,Text Ads,18.18181818181818
facebook,Static Image,17.624747474747473
snapchat,Video,17.561818181818182
facebook,Instream video,16.624747474747473
display,Wallpaper,16.56818181818182
snapchat,Image,16.561818181818182
facebook,Instant Experience,15.624747474747474
facebook,Static Carousel,15.624747474747474
snapchat,Story,15.561818181818182
instagram,Instream video,14.827272727272728
instagram,Static Carousel,14.827272727272728
facebook,Video Carousel,14.624747474747474
amazon,E-Commerce Ads,14.4
amazon,Sponsored Ads,14.4
amazon,IAB Banners Retargeting,14.4
